mode,load,0_inception_v3-16,1_mobilenet_v2-2,2_resnet50-8
mps-uncap,0.8,6.429910659790039,2.1567344665527344,3.850221633911133
mps-uncap,0.9,6.41942024230957,2.2101402282714844,3.816366195678711
mps-uncap,1.0,6.455898284912109,2.2466182708740234,3.8394927978515625
mps-uncap,0.5,6.442070007324219,2.1848678588867188,3.8242340087890625
mps-uncap,0.6,6.424665451049805,2.163410186767578,3.8471221923828125
mps-uncap,0.7,6.427526473999023,2.2182464599609375,3.8254261016845703
mps-uncap,0.1,6.455183029174805,2.1860599517822266,3.8585662841796875
mps-uncap,0.2,6.449699401855469,2.1600723266601562,3.850698471069336
mps-uncap,0.3,6.4411163330078125,2.1848678588867188,3.8552284240722656
mps-uncap,0.4,6.438493728637695,2.178192138671875,3.8514137268066406
