mode,load,0_inception_v3-16,1_mobilenet_v2-2,2_resnet50-8
mps-uncap,0.8,11.953442096710205,3.994240760803223,7.09507942199707
mps-uncap,0.9,12.184104919433596,4.33112144470215,6.928014755249024
mps-uncap,1.0,12.337560653686522,4.448623657226563,6.976060867309571
mps-uncap,0.5,13.262386322021491,5.215525627136229,7.418680191040039
mps-uncap,0.6,11.874914169311523,4.498004913330078,7.09212064743042
mps-uncap,0.7,11.221485137939451,4.213428497314452,7.0569396018981925
mps-uncap,0.1,12.721681594848633,6.072759628295898,7.320117950439453
mps-uncap,0.2,13.408088684082026,6.213960647583009,7.533509731292725
mps-uncap,0.3,13.507256507873535,6.190376281738281,7.590417861938477
mps-uncap,0.4,13.59913825988769,5.885148048400879,7.74545669555664
