mode,load,0_resnet152-4,1_resnet34-32,2_resnet34-32
mps-uncap,0.8,7.303476333618164,6.203889846801758,6.196260452270508
mps-uncap,0.9,7.31658935546875,6.210803985595703,6.216287612915039
mps-uncap,1.0,7.484912872314453,6.19959831237793,6.210088729858398
mps-uncap,0.5,7.452964782714844,6.194114685058594,6.189823150634766
mps-uncap,0.6,7.242918014526367,6.188154220581055,6.200551986694336
mps-uncap,0.7,7.38525390625,6.190776824951172,6.196260452270508
mps-uncap,0.1,7.410287857055664,6.197214126586914,6.195306777954102
mps-uncap,0.2,7.3337554931640625,6.187200546264648,6.193876266479492
mps-uncap,0.3,7.539272308349609,6.176233291625977,6.173133850097656
mps-uncap,0.4,7.419109344482422,6.176233291625977,6.179094314575195
