mode,load,0_resnet152-4,1_resnet34-32,2_resnet34-32
mps-uncap,0.8,16.597747802734375,9.865164756774902,9.653568267822266
mps-uncap,0.9,23.138046264648438,11.05797290802002,11.367082595825195
mps-uncap,1.0,28.28800678253174,12.262821197509766,12.284994125366211
mps-uncap,0.5,15.027165412902832,7.045507431030273,7.1659088134765625
mps-uncap,0.6,13.95869255065918,7.525205612182617,7.384300231933594
mps-uncap,0.7,14.204740524291992,7.776021957397461,8.138656616210938
mps-uncap,0.1,17.57073402404785,6.283283233642578,6.280660629272461
mps-uncap,0.2,17.327189445495605,6.2923431396484375,6.292223930358887
mps-uncap,0.3,17.722129821777344,6.284594535827637,6.277799606323242
mps-uncap,0.4,16.895055770874023,6.399869918823242,6.374359130859375
