mode,load,0_resnet152-4,1_resnet34-32,2_resnet34-32
mps-uncap,0.8,0.062465667724609375,3.322124481201172,3.2726526260375977
mps-uncap,0.9,15.68603515625,11.813998222351074,11.894702911376953
mps-uncap,1.0,161.9129180908203,317.5755739212036,167.7091121673584
mps-uncap,0.5,0.05459785461425781,0.047206878662109375,0.0476837158203125
mps-uncap,0.6,0.053882598876953125,0.04649162292480469,0.04553794860839844
mps-uncap,0.7,0.05650520324707031,0.05245208740234375,0.0553131103515625
mps-uncap,0.1,0.06127357482910156,0.06008148193359375,0.05626678466796875
mps-uncap,0.2,0.05888938903808594,0.05459785461425781,0.05698204040527344
mps-uncap,0.3,0.06008148193359375,0.049591064453125,0.05125999450683594
mps-uncap,0.4,0.05888938903808594,0.04935264587402344,0.04863739013671875
