mode,load,0_efficientnet_b6-4,1_efficientnet_b6-8,2_vgg16-4
mps-uncap,0.8,114.29466988230666,200.02047836845912,606.524788771553
mps-uncap,0.9,121.426927029579,222.25881596489754,691.6796151001652
mps-uncap,1.0,119.96289910643746,232.94999292241442,754.5999065250687
mps-uncap,0.5,71.77825405276847,133.2420307241166,392.1116713618856
mps-uncap,0.6,81.79731854585283,153.0685686218615,462.03235935661996
mps-uncap,0.7,100.24817695467894,173.7040787372903,544.6144904899854
mps-uncap,0.1,14.89961003786918,28.685138803080932,73.8201537362023
mps-uncap,0.2,28.094147671889164,53.89477400178226,154.06941693454033
mps-uncap,0.3,41.98139540600773,76.66095199873988,240.8050479149292
mps-uncap,0.4,53.61713218756957,101.47354084029656,303.4734575186017
