mode,load,0_efficientnet_b6-4,1_efficientnet_b6-8,2_vgg16-4
mps-uncap,0.8,24.594426155090332,25.867462158203125,4.780054092407227
mps-uncap,0.9,32.04774856567383,30.032634735107422,5.16510009765625
mps-uncap,1.0,33.27786922454834,34.28173065185547,5.14531135559082
mps-uncap,0.5,19.7904109954834,20.242691040039062,3.941059112548828
mps-uncap,0.6,19.94943618774414,21.211624145507812,4.047036170959473
mps-uncap,0.7,20.485997200012207,23.244142532348633,4.315018653869629
mps-uncap,0.1,30.20024299621582,27.495503425598145,3.548860549926758
mps-uncap,0.2,19.89293098449707,20.4620361328125,3.4563541412353516
mps-uncap,0.3,19.560575485229492,19.819021224975586,3.4230947494506836
mps-uncap,0.4,19.154071807861328,19.991636276245117,3.5685300827026367
