mode,load,0_resnet152-16,1_resnet34-32,2_vgg19-2
mps-uncap,0.8,333.0807941249334,1971.570407419131,245.08117701404825
mps-uncap,0.9,384.7409040713263,2124.179639670849,271.8185908047438
mps-uncap,1.0,399.58386797725245,2423.252858065772,302.9669490211555
mps-uncap,0.5,203.3982116642942,1219.712310092673,148.93796190886928
mps-uncap,0.6,238.32223329839104,1461.8498334335436,181.694298285853
mps-uncap,0.7,289.37763259130946,1701.5107541214984,213.68561766699648
mps-uncap,0.1,41.698949292962496,251.1648643127719,31.837471675120405
mps-uncap,0.2,79.69345379283284,480.7810810569052,60.05912695075438
mps-uncap,0.3,122.98992188366701,697.1052405821346,90.1540162563644
mps-uncap,0.4,159.69929298056502,946.046342513209,118.56592957430182
