mode,load,0_resnet34-4,1_squeezenet1_1-8,2_vgg16-16
mps-uncap,0.8,114.0509223937987,71.43260240554807,188.55051040649383
mps-uncap,0.9,103.41150283813471,380.5256128311156,898.5062074661257
mps-uncap,1.0,223.43367576599118,4967.005944252014,5445.765233039856
mps-uncap,0.5,29.35154438018799,21.542272567749016,53.33151817321781
mps-uncap,0.6,34.03744697570801,31.370403766632084,77.39633321762088
mps-uncap,0.7,68.65412950515739,36.66159629821777,129.72678661346436
mps-uncap,0.1,16.375341415405288,10.926795005798333,30.565607547760113
mps-uncap,0.2,16.82841777801512,12.971267700195309,29.962224960327166
mps-uncap,0.3,20.20112991333008,13.85194301605224,30.09858131408692
mps-uncap,0.4,21.71247959136966,18.263826370239265,39.73865509033204
