mode,load,0_densenet169-2,1_efficientnet_b7-8,2_vgg19-4
mps-uncap,0.8,0.0095367431640625,0.01239776611328125,0.0095367431640625
mps-uncap,0.9,0.009775161743164062,0.012636184692382812,0.009059906005859375
mps-uncap,1.0,0.014066696166992188,0.0152587890625,0.010967254638671875
mps-uncap,0.5,0.012159347534179688,0.012159347534179688,0.009059906005859375
mps-uncap,0.6,0.009775161743164062,0.01239776611328125,0.009298324584960938
mps-uncap,0.7,0.01239776611328125,0.012159347534179688,0.009059906005859375
mps-uncap,0.1,0.012636184692382812,0.013113021850585938,0.013828277587890625
mps-uncap,0.2,0.01239776611328125,0.012159347534179688,0.011920928955078125
mps-uncap,0.3,0.01239776611328125,0.012159347534179688,0.010967254638671875
mps-uncap,0.4,0.011682510375976562,0.012636184692382812,0.010728836059570312
