mode,load,0_densenet121-8,1_densenet121-8
mig,0.1,0.0591278076171875,0.05888938903808594
mig,0.2,0.05221366882324219,0.048160552978515625
mig,0.3,0.05030632019042969,0.04684925079345703
mig,0.4,0.04887580871582031,0.05030632019042969
mig,0.5,1.0066032409667969,0.10061264038085938
mig,0.6,2.930164337158203,2.970457077026367
mig,0.7,5.634069442749023,5.451202392578125
mig,0.8,10.949492454528809,10.606765747070312
mig,0.9,24.27816390991211,23.44512939453125
mig,1.0,256.5016746520996,90.23928642272949
