mode,load,0_densenet201-4,1_inception_v3-2,2_squeezenet1_1-32
mps-uncap,0.8,17.287731170654297,7.470607757568359,3.971576690673828
mps-uncap,0.9,20.121335983276367,7.923603057861328,4.163384437561035
mps-uncap,1.0,21.479368209838867,8.5679292678833,4.26793098449707
mps-uncap,0.5,15.06030559539795,7.919907569885254,3.75974178314209
mps-uncap,0.6,15.134334564208984,7.233381271362305,3.840923309326172
mps-uncap,0.7,15.877366065979004,7.083535194396973,3.8254261016845703
mps-uncap,0.1,21.72374725341797,11.991262435913086,3.5867691040039062
mps-uncap,0.2,20.8127498626709,11.751651763916016,3.598928451538086
mps-uncap,0.3,16.59083366394043,9.572148323059082,3.6826133728027344
mps-uncap,0.4,15.586137771606445,8.378148078918457,3.7713050842285156
