mode,load,0_densenet169-16,1_densenet169-16,2_densenet169-16,3_densenet169-16
mig,0.1,76.27315521240232,61.02112770080569,60.720944404602065,113.08562278747556
mig,0.2,73.51622581481936,79.12214994430539,77.14485168457036,134.42792892456066
mig,0.3,97.48135089874263,85.38873672485343,89.89561796188342,150.070881843567
mig,0.4,108.89362335205071,112.78731584548952,116.72067642211886,207.76467323303217
mig,0.5,132.99221992492681,124.44052696228026,117.5608062744141,219.65616703033453
mig,0.6,132.97666311264044,162.5066852569579,141.70627593994143,245.37668228149414
mig,0.7,230.3763508796694,199.9043846130371,228.51803541183455,876.3336324691769
mig,0.8,293.28265190124506,312.60420083999645,293.0902028083801,648.6485671997065
mig,0.9,472.54761219024635,533.4863090515138,373.6082839965819,1230.2171778678894
mig,1.0,1179.667963981628,2716.4303159713745,2035.006663799286,883.2805633544921
