mode,load,0_densenet169-16,1_densenet169-16,2_densenet169-16,3_densenet169-16
mig,0.1,55.938023878459425,51.269518742887705,48.26447909043864,27.585555523042988
mig,0.2,93.04576999653673,93.30526952078102,97.85258621387236,50.76600925721425
mig,0.3,154.5725840529955,149.65281330581922,146.85437128446787,78.58503435261393
mig,0.4,199.89476501372482,194.56908810263718,195.97903635988453,102.7259216426349
mig,0.5,252.4579768941562,241.5085775082261,232.5016732924216,137.05179109192133
mig,0.6,304.7880678959098,298.940945539199,290.4115151410267,149.09355279964595
mig,0.7,355.47409204267854,342.8590392840021,342.0206144340053,198.22165714441942
mig,0.8,409.6076575085023,407.13977663873754,399.718341023597,218.79334019014033
mig,0.9,442.6591463265605,447.39156266364887,436.5937698242942,230.34073621167755
mig,1.0,494.85181555770566,496.3217601048345,496.4301246112822,254.40779566247625
