mode,load,0_densenet169-32,1_inception_v3-2,2_mobilenet_v3_large-16
mps-uncap,0.8,29.80208396911621,13.176727294921877,8.303308486938477
mps-uncap,0.9,30.338621139526367,14.728116989135742,8.903837203979492
mps-uncap,1.0,30.486297607421875,13.863325119018555,8.566427230834963
mps-uncap,0.5,27.030277252197266,13.076186180114748,7.669210433959963
mps-uncap,0.6,28.743886947631836,12.763619422912598,7.928872108459474
mps-uncap,0.7,28.974628448486328,13.34347724914551,7.576346397399902
mps-uncap,0.1,24.793624877929688,12.89830207824707,7.803535461425781
mps-uncap,0.2,24.8307466506958,13.40939998626709,7.662057876586914
mps-uncap,0.3,25.331115722656254,13.610553741455078,7.627964019775391
mps-uncap,0.4,25.89399814605713,13.06610107421875,7.3764801025390625
