mode,load,0_densenet169-32,1_inception_v3-2,2_mobilenet_v3_large-16
mps-uncap,0.8,215.8583927154541,44.97450828552249,39.59339618682861
mps-uncap,0.9,770.6926727294922,162.79445648193348,67.87675857543945
mps-uncap,1.0,1181.107792854309,169.82202529907235,165.29993772506705
mps-uncap,0.5,86.29271507263182,31.764864921569874,22.89060115814209
mps-uncap,0.6,127.28015899658205,35.531663894653335,26.210360527038574
mps-uncap,0.7,126.42915725708006,45.82151412963866,28.827667236328146
mps-uncap,0.1,38.39454650878904,19.218568801879883,13.30807209014893
mps-uncap,0.2,47.34583139419554,24.84091281890865,15.390896797180165
mps-uncap,0.3,63.48479747772216,31.573657989502,20.300817489624016
mps-uncap,0.4,68.49520206451416,31.46751642227181,21.371397972106934
