mode,load,0_densenet169-32,1_inception_v3-2,2_mobilenet_v3_large-16
mps-uncap,0.8,49.18622970581055,12.75014877319336,8.475303649902344
mps-uncap,0.9,159.91663932800293,25.59208869934082,13.330936431884766
mps-uncap,1.0,667.7291393280029,28.281688690185547,38.95282745361328
mps-uncap,0.5,25.856494903564453,11.281847953796387,6.814479827880859
mps-uncap,0.6,28.923511505126953,10.585546493530273,6.609439849853516
mps-uncap,0.7,35.687923431396484,11.292457580566406,6.381988525390625
mps-uncap,0.1,23.39959144592285,11.972904205322266,7.330179214477539
mps-uncap,0.2,22.108912467956543,12.119650840759277,7.141470909118652
mps-uncap,0.3,22.999048233032227,12.209177017211914,7.235288619995117
mps-uncap,0.4,24.222254753112793,11.781096458435059,6.984233856201172
