mode,load,0_densenet169-32,1_inception_v3-2,2_mobilenet_v3_large-16
mps-uncap,0.8,30.730724334716797,15.880107879638672,10.577678680419922
mps-uncap,0.9,31.487464904785156,16.721487045288086,10.386466979980469
mps-uncap,1.0,31.094074249267578,15.563726425170898,10.762691497802734
mps-uncap,0.5,29.00099754333496,16.927480697631836,395.1845169067383
mps-uncap,0.6,30.342817306518555,16.36219024658203,10.778665542602539
mps-uncap,0.7,30.521869659423828,16.56341552734375,10.349512100219727
mps-uncap,0.1,26.86142921447754,15.038013458251953,10.980844497680664
mps-uncap,0.2,28.336286544799805,17.796039581298828,10.556936264038086
mps-uncap,0.3,28.203964233398438,17.8985595703125,10.881662368774414
mps-uncap,0.4,28.66816520690918,17.65918731689453,10.898351669311523
