mode,load,0_densenet169-32,1_inception_v3-2,2_mobilenet_v3_large-16
mps-uncap,0.8,20.31993865966797,4.83393669128418,2.7914047241210938
mps-uncap,0.9,20.229578018188477,4.755735397338867,2.8159618377685547
mps-uncap,1.0,20.581960678100586,4.893779754638672,2.824544906616211
mps-uncap,0.5,20.31707763671875,4.814624786376953,2.799510955810547
mps-uncap,0.6,20.327329635620117,4.75621223449707,2.7985572814941406
mps-uncap,0.7,20.27606964111328,4.940986633300781,2.797365188598633
mps-uncap,0.1,20.32327651977539,4.888772964477539,2.8078556060791016
mps-uncap,0.2,20.2329158782959,4.817485809326172,2.7952194213867188
mps-uncap,0.3,20.203351974487305,4.8770904541015625,2.8142929077148438
mps-uncap,0.4,20.29705047607422,4.837274551391602,2.7952194213867188
