mode,load,0_densenet169-32,1_inception_v3-2,2_mobilenet_v3_large-16
mps-uncap,0.8,348.2537269592285,79.47158813476562,69.73958015441895
mps-uncap,0.9,823.6277103424072,241.47605895996094,97.59283065795898
mps-uncap,1.0,1249.1536140441895,240.12494087219238,195.48726081848145
mps-uncap,0.5,116.55783653259277,46.68402671813965,395.2217102050781
mps-uncap,0.6,178.03311347961426,53.66659164428711,45.227766036987305
mps-uncap,0.7,157.3960781097412,71.1519718170166,48.682451248168945
mps-uncap,0.1,40.338993072509766,24.109840393066406,16.789913177490234
mps-uncap,0.2,57.570457458496094,31.24260902404785,22.357463836669922
mps-uncap,0.3,82.52573013305664,46.97084426879883,28.32341194152832
mps-uncap,0.4,114.13788795471191,39.51549530029297,31.783342361450195
