mode,load,0_densenet169-32,1_inception_v3-2,2_mobilenet_v3_large-16
mps-uncap,0.8,0.012636184692382812,0.010967254638671875,0.0095367431640625
mps-uncap,0.9,0.013113021850585938,0.011205673217773438,0.009059906005859375
mps-uncap,1.0,0.0152587890625,0.010013580322265625,0.008821487426757812
mps-uncap,0.5,0.01239776611328125,0.011205673217773438,0.010728836059570312
mps-uncap,0.6,0.013589859008789062,0.010967254638671875,0.0095367431640625
mps-uncap,0.7,0.014543533325195312,0.010251998901367188,0.009059906005859375
mps-uncap,0.1,0.020503997802734375,0.011682510375976562,0.01239776611328125
mps-uncap,0.2,0.01430511474609375,0.011920928955078125,0.0095367431640625
mps-uncap,0.3,0.013828277587890625,0.01239776611328125,0.010967254638671875
mps-uncap,0.4,0.01430511474609375,0.011920928955078125,0.011205673217773438
