mode,load,0_densenet169-32,1_inception_v3-2,2_mobilenet_v3_large-16
mps-uncap,0.8,863.7725713993007,127.79277918585815,1885.7311634189123
mps-uncap,0.9,1054.9025191526562,144.71405143686658,2244.892438800648
mps-uncap,1.0,1064.9774969771888,160.8526171767519,2467.8276561759526
mps-uncap,0.5,551.9123953525386,81.06072434714011,1224.2656731118145
mps-uncap,0.6,676.6592189690401,98.24116131023524,1442.0742794351881
mps-uncap,0.7,716.3877757947879,111.84142387591437,1677.3613387351406
mps-uncap,0.1,106.17047894084641,16.359138896904287,234.59692135945696
mps-uncap,0.2,228.0320555709583,32.567525162794844,466.3010578956132
mps-uncap,0.3,306.6049872704639,49.07296394295045,736.5783952614765
mps-uncap,0.4,414.844396933798,65.08448586193575,943.3734585782195
