mode,load,0_densenet169-32,1_inception_v3-2,2_mobilenet_v3_large-16
mps-uncap,0.8,190.47063827514648,35.87330818176271,33.79265785217283
mps-uncap,0.9,741.3519763946533,152.43740081787095,62.219891548156724
mps-uncap,1.0,1151.4667439460754,160.00168323516854,159.3879795074462
mps-uncap,0.5,62.429866790771456,21.72945499420169,17.270658016204834
mps-uncap,0.6,100.26898145675663,26.42310857772827,20.37563562393189
mps-uncap,0.7,99.71071243286127,35.83374023437498,23.50730895996094
mps-uncap,0.1,16.52831077575683,7.615995407104493,6.421160697937016
mps-uncap,0.2,25.19042730331413,12.495238780975319,8.790612220764151
mps-uncap,0.3,39.54306125640867,21.246724128723145,13.3715629577636
mps-uncap,0.4,47.66170024871827,21.553356647491455,15.60242176055908
