mode,load,0_densenet169-32,1_inception_v3-2,2_mobilenet_v3_large-16
mps-uncap,0.8,26.845693588256836,8.602499961853027,5.0106048583984375
mps-uncap,0.9,28.818607330322266,10.587692260742188,5.226850509643555
mps-uncap,1.0,29.9532413482666,10.0860595703125,5.694270133972168
mps-uncap,0.5,23.804187774658203,9.048104286193848,5.3261518478393555
mps-uncap,0.6,24.83367919921875,8.504748344421387,4.966497421264648
mps-uncap,0.7,25.455951690673828,8.416891098022461,4.642248153686523
mps-uncap,0.1,23.215055465698242,11.762142181396484,7.164359092712402
mps-uncap,0.2,21.856188774108887,11.856555938720703,6.865978240966797
mps-uncap,0.3,22.36199378967285,11.594772338867188,6.844758987426758
mps-uncap,0.4,22.855281829833984,10.297775268554688,6.475210189819336
