mode,load,0_densenet169-32,1_inception_v3-2,2_mobilenet_v3_large-16
mps-uncap,0.8,323.93479347229004,67.73233413696289,65.08374214172363
mps-uncap,0.9,795.5162525177002,231.16207122802734,92.3764705657959
mps-uncap,1.0,1219.3028926849365,230.21793365478516,189.51845169067383
mps-uncap,0.5,93.61529350280762,41.76640510559082,36.48710250854492
mps-uncap,0.6,153.40161323547363,47.58501052856445,38.524627685546875
mps-uncap,0.7,136.02828979492188,59.57627296447754,44.41571235656738
mps-uncap,0.1,18.213748931884766,12.927770614624023,8.401155471801758
mps-uncap,0.2,37.33515739440918,20.054101943969727,15.61284065246582
mps-uncap,0.3,60.52446365356445,39.6425724029541,23.730754852294922
mps-uncap,0.4,89.78128433227539,32.0429801940918,27.30083465576172
