mode,load,0_resnet101-16,1_resnet152-16,2_squeezenet1_1-2
mps-uncap,0.8,18.91031265258789,28.294062614440918,5.15956401824951
mps-uncap,0.9,19.59260225296021,28.434970378875732,5.08613586425781
mps-uncap,1.0,19.278831481933594,28.797986507415775,6.102552413940435
mps-uncap,0.5,18.199620246887207,26.42740249633788,4.577219486236572
mps-uncap,0.6,18.369913101196293,26.874284744262695,4.684553146362305
mps-uncap,0.7,18.65870714187622,27.762036323547363,5.04719018936157
mps-uncap,0.1,16.983811855316162,21.692419052124016,3.2635545730590843
mps-uncap,0.2,17.23418235778809,22.96548128128051,3.494119644165038
mps-uncap,0.3,17.38283395767212,25.408101081848145,4.241418838500976
mps-uncap,0.4,17.586345672607422,25.83016872406006,4.388439655303954
