mode,load,0_densenet201-2,1_efficientnet_b6-8,2_vgg13-16
mps-uncap,0.8,80.54518699645996,108.9454174041748,42.83812046051026
mps-uncap,0.9,146.7355728149414,243.4292316436769,98.82743358612059
mps-uncap,1.0,331.9570064544678,1430.0646305084229,278.8668632507324
mps-uncap,0.5,39.26861286163331,40.23890495300293,16.926884651184082
mps-uncap,0.6,53.022146224975586,54.64625358581543,23.061418533325195
mps-uncap,0.7,65.6071901321411,71.1729049682617,27.428150177001964
mps-uncap,0.1,32.77621269226075,27.746915817260742,8.402824401855469
mps-uncap,0.2,32.82299041748047,30.347061157226566,11.536574363708496
mps-uncap,0.3,34.95852947235107,33.63490104675293,13.73300552368164
mps-uncap,0.4,35.771894454956055,37.49346733093262,15.200138092041017
