mode,load,0_efficientnet_b5-2,1_efficientnet_b7-2,2_resnet152-2
mps-uncap,0.8,6704.890489578247,6251.953125,6764.528036117554
mps-uncap,0.9,7910.84623336792,9786.068677902222,9631.93678855896
mps-uncap,1.0,10658.321380615234,10660.10856628418,12080.089926719666
mps-uncap,0.5,34.952521324157715,42.62185096740723,37.755489349365234
mps-uncap,0.6,91.60363674163818,109.8397970199585,197.41570949554443
mps-uncap,0.7,3439.070701599121,4297.33419418335,3779.0117263793945
mps-uncap,0.1,18.03112030029297,23.42081069946289,16.995906829833984
mps-uncap,0.2,16.994953155517578,22.486567497253418,14.891743659973145
mps-uncap,0.3,17.194747924804688,22.79210090637207,15.456914901733398
mps-uncap,0.4,22.373080253601074,33.36954116821289,20.19500732421875
