mode,load,0_densenet121-8,1_densenet169-2,2_vgg16-2
mps-uncap,0.8,486.08474674074455,104.60983899366003,552.3486590306862
mps-uncap,0.9,502.89616304294105,110.32066762447856,591.3660193680935
mps-uncap,1.0,600.803434859162,100.27622393992415,569.2214115096863
mps-uncap,0.5,315.3165870708086,67.56060716333296,342.7861257744321
mps-uncap,0.6,351.37025804187755,81.23203588600467,398.5474688377508
mps-uncap,0.7,425.3088743954637,96.41815858003886,466.76870740157824
mps-uncap,0.1,62.63936246757878,14.860500421274208,69.34835154554757
mps-uncap,0.2,121.66238190791172,26.515161448287678,144.4332958168748
mps-uncap,0.3,183.45802047242142,41.93082684525115,207.72620773421997
mps-uncap,0.4,242.0862585793055,52.23994120400812,287.11788133524834
