mode,load,0_efficientnet_b6-4,1_efficientnet_b7-8,2_resnet50-2
mps-uncap,0.8,178.12330501613616,260.60980907045615,291.78071320758227
mps-uncap,0.9,196.6551079944774,292.93514252268665,322.4205386238015
mps-uncap,1.0,203.18103303440955,306.2526822412844,330.2026814771749
mps-uncap,0.5,110.64138228397414,169.777639744919,185.12337141690028
mps-uncap,0.6,126.8139963864239,189.2034856655828,216.41604643969393
mps-uncap,0.7,157.01090180206108,228.84108222757766,257.8409510046943
mps-uncap,0.1,22.581123080139793,34.63407866906275,36.0634532337375
mps-uncap,0.2,41.15702769745944,62.53203382096325,73.05660104252253
mps-uncap,0.3,64.91587537863205,103.83519814142292,109.47066087964998
mps-uncap,0.4,87.28680671403106,123.5717468839456,144.0704528516331
