mode,load,0_vgg13-32,1_inception_v3-16,2_resnet18-4
mps-uncap,0.6,19.199371337890625,14.669656753540039,4.724025726318359
mig,0.6,51.31983757019043,21.470308303833008,3.783583641052246
mps-uncap,0.7,19.609689712524414,19.00959014892578,11.885404586791992
mig,0.7,62.10470199584961,29.558897018432617,4.4460296630859375
mps-uncap,0.8,19.84989643096924,27.944326400756836,28.858184814453125
mig,0.8,77.16965675354004,38.30218315124512,5.711555480957031
mps-uncap,0.9,20.855307579040527,56.876420974731445,2864.009141921997
mig,0.9,133.36753845214844,60.54222583770752,9.094953536987305
mps-uncap,1.0,22.435426712036133,96.56906127929688,10674.599647521973
mig,1.0,1963.652491569519,406.4357280731201,95.66640853881836
mps-uncap,1.1,23.244619369506836,2033.4250926971436,15565.721988677979
mig,1.1,4207.5217962265015,4796.172380447388,3369.4714307785034
mps-uncap,1.2,28.533935546875,7945.582866668701,20313.14444541931
mig,1.2,8897.143602371216,6463.087797164917,6837.732553482056
mps-uncap,1.3,30.9298038482666,13787.139773368835,23900.347471237183
mig,1.3,9641.898155212402,11373.77154827118,8539.063453674316
