mode,load,0_densenet121-8,1_inception_v3-16,2_vgg11-32
mps-uncap,0.8,51.26323461532592,41.55247211456299,16.666793823242184
mps-uncap,0.9,46.798429489135735,48.82330417633057,15.881590843200684
mps-uncap,1.0,53.41988801956176,41.75833225250244,15.855154991149911
mps-uncap,0.5,43.01347732543945,36.54336929321289,16.423153877258304
mps-uncap,0.6,46.59237861633301,39.83546495437623,16.329009532928456
mps-uncap,0.7,51.398272514343255,40.72675704956054,16.778898239135746
mps-uncap,0.1,35.050644874572775,31.020164489746094,20.308995246887207
mps-uncap,0.2,33.63834857940674,27.392964363098145,16.521294116973873
mps-uncap,0.3,36.346287727355886,34.05337333679199,16.113009452819824
mps-uncap,0.4,38.915700912475586,34.00665760040284,16.16347551345825
