mode,load,0_alexnet-2,1_resnet152-16,2_vgg13-2
mps-uncap,0.8,4.5032501220703125,71.00679874420166,10.553169250488285
mps-uncap,0.9,7.834911346435547,190.6824588775635,27.275514602661143
mps-uncap,1.0,38.72241973876953,1725.7990837097168,144.64869499206543
mps-uncap,0.5,2.1967411041259783,33.8895320892334,4.735112190246582
mps-uncap,0.6,2.726316452026367,39.89267349243164,5.779504776000974
mps-uncap,0.7,3.4079551696777344,57.78241157531738,7.558608055114747
mps-uncap,0.1,1.3473033905029297,20.432114601135254,2.35743522644043
mps-uncap,0.2,1.4487743377685547,21.15607261657715,2.907133102416992
mps-uncap,0.3,1.6728401184082036,27.408099174499526,3.3092498779296875
mps-uncap,0.4,1.9605159759521484,29.95028495788574,3.822922706604004
