mode,load,0_alexnet-2,1_resnet152-16,2_vgg13-2
mps-uncap,0.8,1.1491775512695312,22.651195526123047,2.688884735107422
mps-uncap,0.9,1.394510269165039,26.870012283325195,3.082275390625
mps-uncap,1.0,1.5969276428222656,29.558897018432617,3.165006637573242
mps-uncap,0.5,1.0602474212646484,17.91977882385254,1.9812583923339844
mps-uncap,0.6,1.0690689086914062,19.368648529052734,2.061128616333008
mps-uncap,0.7,1.1167526245117188,20.993947982788086,2.330780029296875
mps-uncap,0.1,1.1000633239746094,17.866134643554688,1.8410682678222656
mps-uncap,0.2,1.0578632354736328,17.882347106933594,1.8193721771240234
mps-uncap,0.3,1.0488033294677734,17.181873321533203,1.833200454711914
mps-uncap,0.4,1.0645389556884766,17.20118522644043,1.9004344940185547
