mode,load,0_vgg13-32,1_mobilenet_v2-4,2_resnet152-32
mps-uncap,0.6,16.29948616027832,4.024028778076172,27.960538864135742
mig,0.6,33.93197059631348,3.910064697265625,94.24543380737305
mps-uncap,0.7,16.439437866210938,4.180431365966797,29.996156692504883
mig,0.7,33.86545181274414,3.9098262786865234,94.19059753417969
mps-uncap,0.8,16.62921905517578,4.811286926269531,29.689311981201172
mig,0.8,33.74028205871582,3.9217472076416016,94.31219100952148
mps-uncap,0.9,16.556978225708008,4.334926605224609,29.779911041259766
mig,0.9,34.21616554260254,3.9649009704589844,94.39396858215332
mps-uncap,1.0,16.44587516784668,6.742238998413086,29.90412712097168
mig,1.0,34.059762954711914,4.024744033813477,94.65742111206055
mps-uncap,1.1,16.51930809020996,9.358644485473633,29.813528060913086
mig,1.1,34.784793853759766,4.2018890380859375,95.37076950073242
mps-uncap,1.2,16.412734985351562,4.556417465209961,30.129671096801758
mig,1.2,36.31877899169922,3.9975643157958984,96.99892997741699
mps-uncap,1.3,16.54839515686035,6.792783737182617,30.598163604736328
mig,1.3,35.05825996398926,4.223823547363281,95.3516960144043
