mode,load,0_vgg13-32,1_mobilenet_v2-4,2_resnet152-32
mps-uncap,0.6,20.13373374938965,23.810863494873047,47.54900932312012
mig,0.6,45.758962631225586,5.585908889770508,134.6898078918457
mps-uncap,0.7,20.922303199768066,1679.1408061981201,49.503207206726074
mig,0.7,58.72082710266113,6.927251815795898,158.73467922210693
mps-uncap,0.8,21.85964584350586,9669.329404830933,61.937689781188965
mig,0.8,99.74217414855957,9.455442428588867,246.00672721862793
mps-uncap,0.9,22.72343635559082,14201.176047325134,66.65539741516113
mig,0.9,134.26458835601807,14.304161071777344,392.12822914123535
mps-uncap,1.0,25.567054748535156,20752.705693244934,86.5180492401123
mig,1.0,262.65430450439453,68.52507591247559,475.68821907043457
mps-uncap,1.1,28.918027877807617,25921.96011543274,111.99545860290527
mig,1.1,4491.3787841796875,3297.382593154907,4863.2107973098755
mps-uncap,1.2,33.02478790283203,30293.216824531555,186.28478050231934
mig,1.2,8143.844366073608,6914.858818054199,9772.909283638
mps-uncap,1.3,39.7028923034668,33825.50513744354,1402.6906490325928
mig,1.3,8440.242290496826,9877.732992172241,10696.446895599365
