mode,load,0_vgg13-32,1_mobilenet_v2-4,2_resnet152-32
mps-uncap,0.6,21.83218002319336,11.80062294006348,71.68784141540529
mig,0.6,37.3013973236084,4.381895065307617,97.41616249084473
mps-uncap,0.7,22.294378280639652,14.124441146850597,77.93831825256348
mig,0.7,37.39581108093262,4.226064682006836,98.01433086395264
mps-uncap,0.8,22.493600845336914,16.019868850708008,80.15801906585693
mig,0.8,37.729501724243164,4.199504852294922,97.88813591003418
mps-uncap,0.9,22.630953788757328,16.70248508453369,92.74263381958008
mig,0.9,37.87426948547363,4.207468032836914,97.95818328857422
mps-uncap,1.0,22.981929779052734,19.82593536376953,100.2674102783203
mig,1.0,37.87798881530762,4.225730895996094,98.25315475463867
mps-uncap,1.1,23.08344841003418,21.653175354003906,112.05649375915527
mig,1.1,37.87550926208496,4.150867462158203,98.33371639251709
mps-uncap,1.2,23.437976837158203,23.355054855346683,122.40958213806154
mig,1.2,37.89033889770508,4.095792770385742,98.25112819671631
mps-uncap,1.3,23.803853988647457,25.673651695251465,125.7995843887329
mig,1.3,38.13614845275879,4.1571855545043945,98.40788841247559
