mode,load,0_vgg13-32,1_mobilenet_v2-4,2_resnet152-32
mps-uncap,0.6,36.2363338470459,100.66413879394533,98.22745323181154
mig,0.6,110.01391410827635,12.495756149291992,301.469087600708
mps-uncap,0.7,39.71362113952637,2781.9458961486816,110.02659797668456
mig,0.7,141.09170436859125,15.777492523193361,338.85908126831066
mps-uncap,0.8,44.38815116882324,17260.884618759155,143.60108375549322
mig,0.8,273.0617284774781,24.247169494628906,649.9533176422119
mps-uncap,0.9,50.3962516784668,27696.129155159007,192.13867187499986
mig,0.9,336.603307723999,37.082529067993185,1180.2650928497317
mps-uncap,1.0,56.26559257507325,39703.01342010498,218.73226165771484
mig,1.0,630.8691501617433,191.4200782775879,1126.3154029846194
mps-uncap,1.1,71.77972793579102,48793.711137771614,350.7235050201416
mig,1.1,10058.34035873413,6060.217857360841,6353.278756141663
mps-uncap,1.2,79.20193672180177,55026.89211368561,454.14180755615234
mig,1.2,13086.346054077148,12568.2012796402,14693.730115890503
mps-uncap,1.3,96.64969444274902,62071.01194858551,2528.9659023284917
mig,1.3,17551.169443130493,17927.32274532318,19349.705815315247
