mode,load,0_vgg13-32,1_mobilenet_v2-4,2_resnet152-32
mps-uncap,0.6,58.85492801666275,250.02262592315694,178.8693809509277
mig,0.6,191.3759136199951,20.68727016448972,508.9465379714966
mps-uncap,0.7,62.405874729156494,3005.902934074402,181.40258073806763
mig,0.7,289.34005975723267,29.65857505798337,647.2514533996582
mps-uncap,0.8,70.76428413391108,18739.421434402466,243.11520814895638
mig,0.8,509.5306897163395,44.46550607681296,874.1210556030272
mps-uncap,0.9,90.8856844902039,30734.150938987732,382.3999404907228
mig,0.9,537.6555705070496,58.73336791992189,1552.643613815307
mps-uncap,1.0,99.72444057464604,42835.61350584031,364.3514013290405
mig,1.0,972.4408054351802,299.3121027946472,1772.9166412353518
mps-uncap,1.1,131.97662830352766,52883.41612815857,622.8363513946533
mig,1.1,11040.072493553162,6870.817403793335,7742.094278335571
mps-uncap,1.2,146.54301166534424,60687.66968488693,718.3761787414523
mig,1.2,14146.198778152468,13730.96203327179,16506.205406188965
mps-uncap,1.3,162.95464515686035,68210.85601568222,3012.5890946388245
mig,1.3,19180.739879608154,19913.13874721527,21751.985833644867
