mode,load,0_vgg13-32,1_mobilenet_v2-4,2_resnet152-32
mps-uncap,0.6,58.1815242767334,366.30868911743164,163.18058967590332
mig,0.6,202.254056930542,31.195402145385742,533.5772037506104
mps-uncap,0.7,56.740760803222656,3086.6470336914062,172.06978797912598
mig,0.7,312.0436668395996,48.1870174407959,745.3629970550537
mps-uncap,0.8,80.13057708740234,18912.610054016113,287.17923164367676
mig,0.8,597.8603363037109,73.40526580810547,901.831865310669
mps-uncap,0.9,125.47087669372559,31193.203926086426,414.0312671661377
mig,0.9,677.3061752319336,72.74937629699707,1680.4616451263428
mps-uncap,1.0,119.16613578796387,43272.86171913147,432.8727722167969
mig,1.0,1035.689353942871,337.0473384857178,2093.5466289520264
mps-uncap,1.1,169.86846923828125,53259.541273117065,690.8004283905029
mig,1.1,11135.327100753784,6901.799917221069,7968.611001968384
mps-uncap,1.2,178.46441268920898,61355.64136505127,836.6250991821289
mig,1.2,14329.319953918457,13821.711778640747,16663.53416442871
mps-uncap,1.3,228.23071479797363,69259.26494598389,3090.759515762329
mig,1.3,19217.676401138306,20145.591735839844,21917.218446731567
