mode,load,0_vgg13-32,1_mobilenet_v2-4,2_resnet152-32
mps-uncap,0.6,28.30648422241211,37.72425651550293,127.98833847045898
mig,0.6,39.98517990112305,13.76032829284668,104.6895980834961
mps-uncap,0.7,30.262470245361328,37.40644454956055,127.98476219177246
mig,0.7,41.07308387756348,16.273021697998047,106.52923583984375
mps-uncap,0.8,28.512239456176758,40.22049903869629,128.46088409423828
mig,0.8,40.38262367248535,11.587381362915039,100.47316551208496
mps-uncap,0.9,28.599977493286133,38.40827941894531,130.3246021270752
mig,0.9,40.85683822631836,10.796308517456055,107.90586471557617
mps-uncap,1.0,30.216455459594727,39.8101806640625,128.3864974975586
mig,1.0,41.48578643798828,8.388519287109375,102.60820388793945
mps-uncap,1.1,29.849767684936523,38.762807846069336,136.22331619262695
mig,1.1,40.58718681335449,10.207653045654297,101.09424591064453
mps-uncap,1.2,30.46441078186035,40.285348892211914,136.61980628967285
mig,1.2,49.10016059875488,11.639833450317383,106.49585723876953
mps-uncap,1.3,30.997514724731445,38.76090049743652,141.83425903320312
mig,1.3,41.79263114929199,10.782718658447266,105.94463348388672
