mode,load,0_vgg13-32,1_mobilenet_v2-4,2_resnet152-32
mps-uncap,0.6,16.28255844116211,3.9825439453125,27.884483337402344
mig,0.6,33.69641304016113,3.873109817504883,94.10381317138672
mps-uncap,0.7,16.422748565673828,3.965139389038086,29.976606369018555
mig,0.7,33.722877502441406,3.8733482360839844,94.17223930358887
mps-uncap,0.8,16.60943031311035,3.918886184692383,29.670000076293945
mig,0.8,33.71858596801758,3.894329071044922,94.19131278991699
mps-uncap,0.9,16.542434692382812,3.9741992950439453,29.76250648498535
mig,0.9,34.06333923339844,3.923654556274414,94.3758487701416
mps-uncap,1.0,16.41988754272461,3.914356231689453,29.885530471801758
mig,1.0,33.98299217224121,3.9870738983154297,94.3450927734375
mps-uncap,1.1,16.50214195251465,3.946542739868164,28.6862850189209
mig,1.1,34.140825271606445,3.9157867431640625,95.27134895324707
mps-uncap,1.2,16.396045684814453,3.971576690673828,29.125690460205078
mig,1.2,34.41333770751953,3.900289535522461,94.88868713378906
mps-uncap,1.3,16.534805297851562,4.039764404296875,28.124094009399414
mig,1.3,34.52420234680176,3.9398670196533203,95.28875350952148
