mode,load,0_vgg13-32,1_mobilenet_v2-4,2_resnet152-32
mps-uncap,0.6,0.013113021850585938,0.011682510375976562,0.014543533325195312
mig,0.6,0.01239776611328125,0.011682510375976562,0.014543533325195312
mps-uncap,0.7,0.012874603271484375,0.013589859008789062,0.014543533325195312
mig,0.7,0.01239776611328125,0.011682510375976562,0.014543533325195312
mps-uncap,0.8,0.012636184692382812,0.0171661376953125,0.01430511474609375
mig,0.8,0.013589859008789062,0.011444091796875,0.014066696166992188
mps-uncap,0.9,0.012874603271484375,0.0133514404296875,0.01430511474609375
mig,0.9,0.012874603271484375,0.012636184692382812,0.015020370483398438
mps-uncap,1.0,0.012636184692382812,0.019788742065429688,0.01430511474609375
mig,1.0,0.013589859008789062,0.011682510375976562,0.015497207641601562
mps-uncap,1.1,0.013113021850585938,0.030040740966796875,0.01430511474609375
mig,1.1,0.018596649169921875,0.01811981201171875,0.017642974853515625
mps-uncap,1.2,0.0133514404296875,0.016689300537109375,0.013828277587890625
mig,1.2,0.0247955322265625,0.013828277587890625,0.030755996704101562
mps-uncap,1.3,0.012636184692382812,0.024080276489257812,0.0152587890625
mig,1.3,0.017404556274414062,0.01430511474609375,0.018835067749023438
