mode,load,0_vgg13-32,1_mobilenet_v2-4,2_resnet152-32
mps-uncap,0.6,38.44808101654062,245.1067781448372,120.38503170013426
mig,0.6,156.05978012084958,16.770601272583008,414.2272472381592
mps-uncap,0.7,42.43387699127198,2996.760694980622,137.14236021041867
mig,0.7,250.95666885375974,25.61594963073729,551.7002964019775
mps-uncap,0.8,51.04583740234374,18734.660539627075,195.45198440551766
mig,0.8,474.30721044540445,40.444040298461964,778.7207508087157
mps-uncap,0.9,71.06007099151613,30728.124284744263,331.41217231750545
mig,0.9,502.9703640937806,54.701833724975586,1454.8950862884517
mps-uncap,1.0,79.57397937774665,42818.137757778175,301.48502349853476
mig,1.0,937.4594306945796,295.22162675857544,1677.1985912323003
mps-uncap,1.1,111.06448173522921,52878.80195617676,550.1537322998047
mig,1.1,11005.014128684998,6866.659574508668,7645.780980587006
mps-uncap,1.2,123.21509361267086,60682.425298690796,642.9516887664785
mig,1.2,14108.215589523317,13727.026164531708,16409.231431484222
mps-uncap,1.3,142.4425411224365,68185.5594086647,2940.9849762916588
mig,1.3,19142.88353919983,19909.11477804184,21655.051181316372
