mode,load,0_vgg13-32,1_mobilenet_v2-4,2_resnet152-32
mps-uncap,0.6,19.201040267944336,4.134893417358398,38.82312774658203
mig,0.6,34.70778465270996,3.9942264556884766,95.31450271606445
mps-uncap,0.7,19.1342830657959,4.106998443603516,44.68834400177002
mig,0.7,34.760355949401855,3.9806365966796875,95.52550315856934
mps-uncap,0.8,19.45972442626953,4.110813140869141,46.013832092285156
mig,0.8,35.03060340881348,3.9947032928466797,95.67737579345703
mps-uncap,0.9,19.63484287261963,4.227876663208008,46.98371887207031
mig,0.9,35.218119621276855,4.020929336547852,95.91984748840332
mps-uncap,1.0,19.919157028198242,4.424095153808594,48.52938652038574
mig,1.0,35.336852073669434,4.068613052368164,96.14014625549316
mps-uncap,1.1,20.087718963623047,4.655122756958008,53.43222618103027
mig,1.1,35.463571548461914,4.009485244750977,96.35758399963379
mps-uncap,1.2,20.22576332092285,5.126476287841797,62.047719955444336
mig,1.2,35.479068756103516,3.986358642578125,96.38309478759766
mps-uncap,1.3,20.425796508789062,7.460474967956543,64.84866142272949
mig,1.3,35.45498847961426,4.035711288452148,96.3200330734253
