mode,load,0_vgg13-32,1_mobilenet_v2-4,2_resnet152-32
mps-uncap,0.6,75.82736015319824,376.2838840484619,230.89933395385742
mig,0.6,237.10203170776367,35.39729118347168,629.8792362213135
mps-uncap,0.7,76.14707946777344,3091.7904376983643,208.34660530090332
mig,0.7,346.26078605651855,52.134037017822266,840.8281803131104
mps-uncap,0.8,100.12173652648926,18916.677474975586,319.26989555358887
mig,0.8,632.4708461761475,77.38924026489258,997.4582195281982
mps-uncap,0.9,145.1711654663086,31197.659254074097,449.51629638671875
mig,0.9,715.787410736084,76.78604125976562,1776.2415409088135
mps-uncap,1.0,139.8000717163086,43297.45888710022,465.87276458740234
mig,1.0,1075.8922100067139,341.2811756134033,2188.108444213867
mps-uncap,1.1,190.97447395324707,53269.20747756958,741.229772567749
mig,1.1,11171.072721481323,6905.754566192627,8066.4191246032715
mps-uncap,1.2,199.16319847106934,61380.08236885071,932.0433139801025
mig,1.2,14365.037202835083,13829.97441291809,16759.748935699463
mps-uncap,1.3,250.27108192443848,69286.74840927124,3145.047426223755
mig,1.3,19253.093004226685,20156.37445449829,22012.50720024109
