mode,load,0_vgg13-32,1_mobilenet_v2-4,2_resnet152-32
mps-uncap,0.6,26.336498260498054,23.060145378112807,108.85630607604973
mig,0.6,38.94847869873047,5.083990097045896,98.95741939544678
mps-uncap,0.7,25.81217765808106,23.86086463928224,117.51299381256099
mig,0.7,39.0709114074707,4.68569278717041,99.62135314941406
mps-uncap,0.8,26.49694442749023,25.342140197753903,122.9908061027527
mig,0.8,39.07295227050781,4.545116424560549,99.5685863494873
mps-uncap,0.9,26.333837509155273,27.504334449768084,124.3037509918213
mig,0.9,39.44005250930786,4.517326354980469,100.02583503723145
mps-uncap,1.0,26.86429023742676,29.455206394195564,125.63932418823242
mig,1.0,39.5050573348999,4.542028903961181,100.21276473999025
mps-uncap,1.1,26.429533958435055,30.872697830200195,126.80578231811523
mig,1.1,39.473233222961426,4.478588104248047,100.18259286880493
mps-uncap,1.2,27.137460708618157,33.725609779357924,128.59962463378906
mig,1.2,39.36263084411622,4.422187805175781,100.19473552703857
mps-uncap,1.3,26.74765586853027,34.8313570022583,128.9872980117798
mig,1.3,39.76482391357422,4.527688026428223,100.7067084312439
