mode,load,0_vgg13-32,1_mobilenet_v2-4,2_resnet152-32
mps-uncap,0.6,534.7470014211697,594.5498963193256,190.5060284243378
mig,0.6,519.4803027045066,591.5396768932886,192.90240783777267
mps-uncap,0.7,627.2626155854074,671.1999471046114,213.30801594577554
mig,0.7,635.6024564158854,683.6791002980926,238.35195583956735
mps-uncap,0.8,718.3350332601227,616.3200862802684,270.9144110822493
mig,0.8,736.3178299710565,799.1464346878325,262.57518962233667
mps-uncap,0.9,794.7624559662002,568.1360039043192,283.7684320441168
mig,0.9,777.7420467531905,873.243804506806,293.3950058982298
mps-uncap,1.0,890.863383424678,504.7855176006151,329.59934496791226
mig,1.0,854.2079277103595,961.9017189312536,316.65943396674555
mps-uncap,1.1,980.7534006589901,444.95524981051113,350.24760238067523
mig,1.1,889.1658320836949,988.5429283727314,328.39485459377573
mps-uncap,1.2,1039.8558523077934,386.56407985605716,398.30948410286277
mig,1.2,889.5466937504748,995.3861587079836,330.9652378719093
mps-uncap,1.3,1138.3370198164075,313.672819272234,423.29742201057337
mig,1.3,887.1558212965555,982.8833859940546,330.11116223645877
