mode,load,0_vgg19-2,1_mobilenet_v2-4
tie-breaker,1.0,2.8188228607177734,2.8181076049804688
tie-breaker,1.0,2.7959346771240234,2.8314590454101562
tie-breaker,1.0,3.610372543334961,2.212047576904297
tie-breaker,1.0,3.618001937866211,2.1982192993164062
tie-breaker,1.0,3.612995147705078,2.3038387298583984
tie-breaker,1.0,2.8131484985351562,2.8502941131591797
tie-breaker,1.0,2.8553009033203125,2.8390884399414062
tie-breaker,1.0,3.6094188690185547,2.3033618927001953
tie-breaker,1.0,2.8166770935058594,2.8493404388427734
tie-breaker,1.0,3.6132335662841797,2.2270679473876953
tie-breaker,1.0,3.614664077758789,2.262115478515625
tie-breaker,1.0,2.8319358825683594,2.880573272705078
tie-breaker,1.0,7.791042327880859,3.6971569061279297
tie-breaker,1.0,7.790803909301758,3.696918487548828
tie-breaker,1.0,7.789373397827148,3.6945343017578125
tie-breaker,1.0,7.788896560668945,3.694295883178711
tie-breaker,1.0,3.612995147705078,2.2644996643066406
tie-breaker,1.0,3.612995147705078,2.269268035888672
tie-breaker,1.0,3.610849380493164,2.2461414337158203
tie-breaker,1.0,2.8231143951416016,2.810955047607422
tie-breaker,1.0,3.6072731018066406,2.2802352905273438
tie-breaker,1.0,3.610372543334961,2.2649765014648438
tie-breaker,1.0,2.8047561645507812,2.814769744873047
tie-breaker,1.0,2.8163909912109375,2.8090476989746094
tie-breaker,1.0,2.8438568115234375,2.832174301147461
tie-breaker,1.0,2.8014183044433594,2.825021743774414
tie-breaker,1.0,2.8153181076049805,2.847433090209961
tie-breaker,1.0,2.8467178344726562,2.824258804321289
tie-breaker,1.0,2.8018951416015625,2.853870391845703
