mode,load,0_vgg19-2,1_mobilenet_v2-4
tie-breaker,1.0,2.6907920837402344,2.5870800018310547
tie-breaker,1.0,2.684354782104492,2.6154518127441406
tie-breaker,1.0,3.6008358001708984,2.187490463256836
tie-breaker,1.0,3.6058425903320312,2.172231674194336
tie-breaker,1.0,3.6046504974365234,2.2797584533691406
tie-breaker,1.0,2.696990966796875,2.6450157165527344
tie-breaker,1.0,2.721071243286133,2.624034881591797
tie-breaker,1.0,3.6003589630126953,2.2809505462646484
tie-breaker,1.0,2.6998519897460938,2.630949020385742
tie-breaker,1.0,3.604412078857422,2.2046566009521484
tie-breaker,1.0,3.606081008911133,2.2382736206054688
tie-breaker,1.0,2.7091503143310547,2.6581287384033203
tie-breaker,1.0,7.779598236083984,3.6919116973876953
tie-breaker,1.0,7.779121398925781,3.6916732788085938
tie-breaker,1.0,7.776975631713867,3.688335418701172
tie-breaker,1.0,7.776737213134766,3.6880970001220703
tie-breaker,1.0,3.603696823120117,2.2420883178710938
tie-breaker,1.0,3.6013126373291016,2.2430419921875
tie-breaker,1.0,3.602266311645508,2.226114273071289
tie-breaker,1.0,2.7005672454833984,2.5768280029296875
tie-breaker,1.0,3.5991668701171875,2.245187759399414
tie-breaker,1.0,3.5986900329589844,2.237558364868164
tie-breaker,1.0,2.678394317626953,2.61688232421875
tie-breaker,1.0,2.6900768280029297,2.574443817138672
tie-breaker,1.0,2.716064453125,2.5997161865234375
tie-breaker,1.0,2.6853084564208984,2.597332000732422
tie-breaker,1.0,2.6972293853759766,2.6546716690063477
tie-breaker,1.0,2.720355987548828,2.592325210571289
tie-breaker,1.0,2.683877944946289,2.642393112182617
