mode,load,0_vgg19-2,1_mobilenet_v2-4
tie-breaker,1.0,3.172636032104492,3.387928009033203
tie-breaker,1.0,3.1936168670654297,3.298521041870117
tie-breaker,1.0,3.8301944732666016,2.9821395874023438
tie-breaker,1.0,3.7233829498291016,3.0205249786376953
tie-breaker,1.0,3.7889480590820312,3.1557083129882812
tie-breaker,1.0,3.138303756713867,3.3714771270751953
tie-breaker,1.0,4.0874481201171875,3.8614273071289062
tie-breaker,1.0,3.6978721618652344,3.0527114868164062
tie-breaker,1.0,3.9224624633789062,3.973245620727539
tie-breaker,1.0,3.7076473236083984,3.0019283294677734
tie-breaker,1.0,3.7102699279785156,3.012418746948242
tie-breaker,1.0,3.990650177001953,4.068136215209961
tie-breaker,1.0,7.8182220458984375,4.220724105834961
tie-breaker,1.0,7.822275161743164,3.747224807739258
tie-breaker,1.0,7.828712463378906,3.7200450897216797
tie-breaker,1.0,7.828235626220703,4.471778869628906
tie-breaker,1.0,3.7221908569335938,3.366708755493164
tie-breaker,1.0,3.7229061126708984,3.1261444091796875
tie-breaker,1.0,3.7908554077148438,3.2241344451904297
tie-breaker,1.0,3.2033920288085938,3.4377574920654297
tie-breaker,1.0,3.783702850341797,3.225088119506836
tie-breaker,1.0,3.709554672241211,2.9757022857666016
tie-breaker,1.0,3.1762123107910156,3.5400390625
tie-breaker,1.0,3.3195018768310547,3.409147262573242
tie-breaker,1.0,3.360748291015625,3.3004283905029297
tie-breaker,1.0,3.2663345336914062,3.4835338592529297
tie-breaker,1.0,3.1900405883789062,3.496408462524414
tie-breaker,1.0,3.905057907104492,3.782987594604492
tie-breaker,1.0,4.021644592285156,4.30607795715332
