mode,load,0_vgg19-2,1_mobilenet_v2-4
tie-breaker,1.0,2.9378318786621085,2.9877638816833496
tie-breaker,1.0,2.9108977317810054,2.9900074005126953
tie-breaker,1.0,3.650665283203125,2.247776985168457
tie-breaker,1.0,3.658771514892578,2.2433757781982426
tie-breaker,1.0,3.6520957946777344,2.3393630981445312
tie-breaker,1.0,2.9307413101196285,3.0062198638916016
tie-breaker,1.0,2.9811859130859375,3.0567264556884757
tie-breaker,1.0,3.6482810974121094,2.3353099822998047
tie-breaker,1.0,2.933502197265625,3.026657104492186
tie-breaker,1.0,3.6513805389404297,2.2585391998291016
tie-breaker,1.0,3.6537647247314453,2.292633056640625
tie-breaker,1.0,2.9554367065429688,3.1127452850341806
tie-breaker,1.0,7.800579071044922,3.7017226219177246
tie-breaker,1.0,7.801532745361328,3.7016868591308594
tie-breaker,1.0,7.801864147186279,3.702878952026367
tie-breaker,1.0,7.800817489624023,3.7033557891845703
tie-breaker,1.0,3.6524057388305664,2.303981781005859
tie-breaker,1.0,3.648996353149414,2.327263355255127
tie-breaker,1.0,3.651454448699951,2.283811569213867
tie-breaker,1.0,2.939944267272949,2.9625892639160156
tie-breaker,1.0,3.6461353302001953,2.3882389068603516
tie-breaker,1.0,3.646667003631592,2.310094833374023
tie-breaker,1.0,2.922842502593994,3.0108261108398438
tie-breaker,1.0,2.9423427581787105,2.9844450950622554
tie-breaker,1.0,2.960681915283203,3.013081550598143
tie-breaker,1.0,2.916097640991211,2.965829372406006
tie-breaker,1.0,2.9337406158447266,3.0492281913757333
tie-breaker,1.0,2.9658126831054688,2.9952526092529297
tie-breaker,1.0,2.9195070266723633,3.046388626098633
