mode,load,0_vgg19-2,1_mobilenet_v2-4
tie-breaker,1.0,2.9380512237548824,2.9879045486450195
tie-breaker,1.0,2.911090850830078,2.9900169372558594
tie-breaker,1.0,3.6509037017822266,2.247912883758545
tie-breaker,1.0,3.6590099334716797,2.243614196777344
tie-breaker,1.0,3.6520957946777344,2.339601516723633
tie-breaker,1.0,2.930879592895508,3.0062198638916016
tie-breaker,1.0,2.9813790321350093,3.056764602661133
tie-breaker,1.0,3.6482810974121094,2.335457801818847
tie-breaker,1.0,2.933542728424072,3.0268859863281232
tie-breaker,1.0,3.6513805389404297,2.2585391998291016
tie-breaker,1.0,3.654003143310547,2.292633056640625
tie-breaker,1.0,2.955548763275147,3.112983703613282
tie-breaker,1.0,7.80076026916504,3.701925277709961
tie-breaker,1.0,7.801532745361328,3.7016868591308594
tie-breaker,1.0,7.802009582519531,3.7031173706054688
tie-breaker,1.0,7.800817489624023,3.703594207763672
tie-breaker,1.0,3.6526083946228027,2.303981781005859
tie-breaker,1.0,3.648996353149414,2.3275017738342285
tie-breaker,1.0,3.6516189575195312,2.2839879989624023
tie-breaker,1.0,2.939944267272949,2.9626631736755376
tie-breaker,1.0,3.646218776702881,2.3884177207946777
tie-breaker,1.0,3.6468505859375,2.3101234436035147
tie-breaker,1.0,2.922842502593994,3.0109024047851562
tie-breaker,1.0,2.9425621032714844,2.9845237731933594
tie-breaker,1.0,2.960681915283203,3.0133199691772448
tie-breaker,1.0,2.9162001609802246,2.9659271240234375
tie-breaker,1.0,2.9337406158447266,3.0492591857910165
tie-breaker,1.0,2.9659366607666016,2.9952716827392574
tie-breaker,1.0,2.9196739196777344,3.0467891693115234
