mode,load,0_vgg19-2,1_mobilenet_v2-4
tie-breaker,1.0,0.000476837158203125,0.000476837158203125
tie-breaker,1.0,0.0059604644775390625,0.0064373016357421875
tie-breaker,1.0,0.000476837158203125,0.000476837158203125
tie-breaker,1.0,0.0007152557373046875,0.0007152557373046875
tie-breaker,1.0,0.0057220458984375,0.000476837158203125
tie-breaker,1.0,0.005245208740234375,0.0050067901611328125
tie-breaker,1.0,0.0007152557373046875,0.0007152557373046875
tie-breaker,1.0,0.0059604644775390625,0.0059604644775390625
tie-breaker,1.0,0.006198883056640625,0.000476837158203125
tie-breaker,1.0,0.000476837158203125,0.000476837158203125
tie-breaker,1.0,0.0007152557373046875,0.000476837158203125
tie-breaker,1.0,0.000476837158203125,0.0059604644775390625
tie-breaker,1.0,0.0007152557373046875,0.0007152557373046875
tie-breaker,1.0,0.000476837158203125,0.000476837158203125
tie-breaker,1.0,0.0007152557373046875,0.000476837158203125
tie-breaker,1.0,0.00095367431640625,0.000476837158203125
tie-breaker,1.0,0.0007152557373046875,0.000476837158203125
tie-breaker,1.0,0.000476837158203125,0.000476837158203125
tie-breaker,1.0,0.006198883056640625,0.000476837158203125
tie-breaker,1.0,0.0007152557373046875,0.000476837158203125
tie-breaker,1.0,0.0007152557373046875,0.000476837158203125
tie-breaker,1.0,0.0057220458984375,0.0007152557373046875
tie-breaker,1.0,0.006198883056640625,0.0057220458984375
tie-breaker,1.0,0.006198883056640625,0.0054836273193359375
tie-breaker,1.0,0.0007152557373046875,0.0007152557373046875
tie-breaker,1.0,0.007152557373046875,0.006198883056640625
tie-breaker,1.0,0.0007152557373046875,0.0054836273193359375
tie-breaker,1.0,0.0054836273193359375,0.000476837158203125
tie-breaker,1.0,0.0050067901611328125,0.0007152557373046875
