mode,load,0_vgg19-2,1_mobilenet_v2-4
tie-breaker,1.0,739.3694487563174,1538.2886789047332
tie-breaker,1.0,741.770198220552,1520.3181576049076
tie-breaker,1.0,554.7883099747711,1824.8902007258614
tie-breaker,1.0,553.9060288295715,1837.3213252688593
tie-breaker,1.0,554.3305185368745,1752.659156792071
tie-breaker,1.0,737.6866498237367,1506.7399248198797
tie-breaker,1.0,730.6851589863729,1522.8798033029125
tie-breaker,1.0,555.007526549938,1751.1579885800618
tie-breaker,1.0,737.5034576398041,1512.3546578913972
tie-breaker,1.0,554.3752110530232,1811.515712530582
tie-breaker,1.0,554.1130961635855,1784.0983523240614
tie-breaker,1.0,734.7429895194366,1499.1548507616671
tie-breaker,1.0,261.0391930787021,1094.583498772832
tie-breaker,1.0,269.3871837636089,1112.4988550393643
tie-breaker,1.0,261.7006860221088,1097.6661299468556
tie-breaker,1.0,269.48021780121013,1113.1854502883466
tie-breaker,1.0,554.4004547330798,1780.4646280125235
tie-breaker,1.0,554.854137770949,1779.3236654284333
tie-breaker,1.0,554.6294578762795,1794.295654672482
tie-breaker,1.0,737.0500758403042,1542.5866374302664
tie-breaker,1.0,555.1237572362221,1774.335116363628
tie-breaker,1.0,555.2677919170447,1783.9746988908632
tie-breaker,1.0,742.5484173562124,1527.551012077363
tie-breaker,1.0,739.5999822951651,1545.518494746287
tie-breaker,1.0,732.888905083906,1531.7196387234778
tie-breaker,1.0,741.2428512205569,1530.6185355047573
tie-breaker,1.0,738.0048068926004,1503.701328201431
tie-breaker,1.0,731.5767527921214,1536.7662515508534
tie-breaker,1.0,741.8321829683221,1506.1925973125806
