mode,load,0_vgg19-2,1_mobilenet_v3_small-4,2_resnet34-4
mps-uncap,1.0,594.323986633315,954.6556606782746,789.5344563325805
mig,1.0,416.56857999583633,963.2365047356999,865.8271502267118
