mode,load,0_vgg19-2,1_mobilenet_v3_small-4,2_resnet34-4
mps-uncap,1.0,14.972209930419922,13.324260711669922,16.422033309936523
mig,1.0,17.08531379699707,11.846303939819336,18.147945404052734
