mode,load,0_vgg19-2,1_mobilenet_v3_small-4,2_resnet34-4
mps-uncap,1.0,3.692626953125,4.555702209472656,5.705595016479492
mig,1.0,5.149602890014648,4.3477559089660645,5.097734928131104
