mode,load,0_vgg19-2,1_mobilenet_v3_small-4,2_resnet34-4
mps-uncap,1.0,3.5164356231689453,4.390239715576172,5.464482307434082
mig,1.0,4.854917526245117,4.206418991088867,4.703044891357422
