mode,load,0_mobilenet_v3_small-32,1_densenet161-2,2_densenet201-8
mps-uncap,1.0,5.768299102783203,17.713069915771484,21.14100456237793
mig,1.0,5.262517929077149,16.783666610717773,25.15895366668701
