mode,load,0_mobilenet_v3_small-32,1_densenet161-2,2_densenet201-8
mps-uncap,1.0,4.706859588623047,17.138123512268066,20.793676376342773
mig,1.0,4.823446273803711,16.48879051208496,24.87921714782715
