mode,load,0_mobilenet_v3_small-32,1_densenet161-2,2_densenet201-8
mps-uncap,1.0,16.074180603027344,28.397798538208008,31.569719314575195
mig,1.0,9.763240814208984,22.80735969543457,32.61160850524902
