mode,load,0_mobilenet_v3_small-32,1_densenet161-2,2_densenet201-8
mps-uncap,1.0,5.768060684204102,17.712831497192383,21.14095687866211
mig,1.0,5.262327194213869,16.783452033996582,25.15888214111328
