mode,load,0_mobilenet_v3_small-32,1_densenet161-2,2_densenet201-8
mps-uncap,1.0,6596.142238840477,116.0453948779958,383.3105703438881
mig,1.0,6523.6151157532095,120.81567742083642,321.0913461484766
